I,V,X,Y,A,s
1614.447,12.8,-35.774,-115.184,301.7,18.822
1614.767,13.433,-34.243,-111.158,301.7,18.826
1615.047,13.742,-32.629,-107.742,301.7,18.83
1615.367,14.442,-30.436,-104.16,301.725,18.834
1615.607,15.006,-29.029,-100.078,301.8,18.838
1615.887,15.469,-27.747,-96.635,301.8,18.842
1616.127,14.828,-26.649,-92.831,301.8,18.846
1616.407,13.861,-26.484,-88.526,301.725,18.85
1616.727,13.264,-27.125,-84.417,301.7,18.854
1617.047,12.219,-29.029,-81.057,301.7,18.858
1617.367,11.389,-31.698,-78.502,301.7,18.862
1617.727,11.061,-35.009,-76.28,301.675,18.866
1618.087,11.006,-37.057,-72.976,301.6,18.87
1618.447,10.869,-37.823,-68.866,301.6,18.874
1618.807,11.458,-37.513,-65.201,301.6,18.878
1619.167,12.086,-35.774,-61.452,301.6,18.882
1619.487,12.714,-33.436,-58.064,301.6,18.886
1619.807,13.339,-30.747,-55.398,301.6,18.89
1620.087,13.828,-27.291,-53.288,301.675,18.894
1620.367,14.592,-24.084,-51.066,301.725,18.898
1620.647,14.95,-21.27,-48.206,301.8,18.902
1620.887,15.247,-18.725,-44.902,301.8,18.906
1621.167,15.564,-16.697,-41.542,301.8,18.91
1621.407,15.883,-15.746,-37.765,301.8,18.914
1621.687,16.397,-14.98,-33.461,301.8,18.919
1621.927,16.55,-14.98,-29.324,301.8,18.922
1622.167,16.756,-15.291,-25.547,301.8,18.926
1622.407,15.889,-15.725,-21.743,301.775,18.93
1622.647,14.939,-15.58,-17.772,301.75,18.934
1622.927,13.297,-14.339,-13.995,301.7,18.938
1623.247,12.006,-12.435,-10.58,301.7,18.942
1623.607,11.419,-10.242,-6.998,301.775,18.946
1623.967,10.956,-9.601,-2.999,301.775,18.95
1624.327,10.719,-10.097,0.917,301.7,18.954
1624.687,10.833,-9.435,4.554,301.775,18.958
1625.047,11.439,-7.531,8.247,301.8,18.962
1625.407,12.356,-5.028,11.441,301.8,18.966
1625.727,13.239,-3.124,14.884,301.8,18.97
1626.007,13.956,-1.842,18.855,301.8,18.974
1626.287,14.522,-0.6,22.215,301.8,18.978
1626.567,15.056,0,26.325,301.8,18.982
1626.807,15.339,0,30.518,301.8,18.986
1627.087,15.117,-0.145,34.544,301.8,18.99
1627.367,15.008,-0.145,38.543,301.8,18.994
1627.607,15.158,0,42.542,301.725,18.998
1627.887,15.214,1.138,46.179,301.7,19.002
1628.127,15.344,3.042,49.873,301.7,19.006
1628.407,15.592,5.069,53.066,301.7,19.01
1628.647,15.197,7.469,56.537,301.7,19.014
1628.927,14.478,9.373,59.73,301.7,19.018
1629.207,13.15,10.325,63.535,301.7,19.022
1629.527,11.639,10.759,67.645,301.7,19.026
1629.887,10.397,10.759,71.504,301.775,19.03
