x,y,k,s
57.07795072047269,9.153072198558242,0,62.31825
57.31258941110083,9.160300432112559,0,62.553
57.54722810172896,9.167528665666877,0,62.787749999999996
57.78186679235709,9.174756899221196,0,63.022499999999994
58.016505482985224,9.181985132775514,0,63.25725
58.251144173613355,9.189213366329833,0,63.492
58.485782864241486,9.196441599884151,0,63.726749999999996
58.72042155486962,9.203669833438468,0,63.961499999999994
58.95506024549775,9.210898066992787,0,64.19624999999999
59.189698936125886,9.218126300547105,0,64.431
59.42433762675402,9.225354534101424,0,64.66575
59.65897631738215,9.232582767655742,0,64.9005
59.89361500801028,9.239811001210061,0,65.13525
60.12825369863841,9.24703923476438,0,65.36999999999999
60.158737124567885,9.248043879699424,0.14092446448703494,65.4005
60.1892159507672,9.24917953869538,0.14092446448703494,65.431
60.21968961415644,9.250446190771559,0.14092446448703494,65.46149999999999
60.25015755175108,9.251843812527248,0.14092446448703494,65.49199999999999
60.280619200672376,9.253372378142137,0.14092446448703494,65.5225
60.31107399815774,9.255031859376796,0.14092446448703494,65.553
60.34152138157119,9.256822225573204,0.14092446448703494,65.58349999999999
60.3719607884137,9.258743443655309,0.14092446448703494,65.61399999999999
60.48110352286853,9.265867637695534,0,65.72337499999999
60.59024625732336,9.272991831735759,0,65.83274999999999
60.699388991778186,9.280116025775984,0,65.94212499999999
60.808531726233014,9.287240219816209,0,66.05149999999999
60.91767446068784,9.294364413856433,0,66.16087499999999
61.02681719514268,9.301488607896657,0,66.27024999999999
61.135959929597504,9.308612801936881,0,66.37962499999999
61.24510266405233,9.315736995977106,0,66.48899999999999
61.26069662089261,9.31672125192362,-0.2748763056624519,66.50462499999999
61.276294661215395,9.317638523853523,-0.2748763056624519,66.52024999999999
61.291896497291425,9.318488794846354,-0.2748763056624519,66.53587499999999
61.307501841321425,9.319272049217592,-0.2748763056624519,66.55149999999999
61.3231104054414,9.319988272518932,-0.2748763056624519,66.56712499999999
61.33872190172795,9.320637451538563,-0.2748763056624519,66.58274999999999
61.35433604220361,9.321219574301402,-0.2748763056624519,66.59837499999999
61.36995253884212,9.32173463006932,-0.2748763056624519,66.61399999999999
61.61983379804294,9.329438934075103,0,66.86399999999999
61.86971505724376,9.337143238080888,0,67.11399999999999
62.11959631644458,9.34484754208667,0,67.36399999999999
62.36947757564539,9.352551846092453,0,67.61399999999999
62.61935883484621,9.360256150098238,0,67.86399999999999
62.86924009404703,9.36796045410402,0,68.11399999999999
63.11912135324785,9.375664758109803,0,68.36399999999999
63.36900261244867,9.383369062115587,0,68.61399999999999
63.61888387164949,9.39107336612137,0,68.86399999999999
63.8687651308503,9.398777670127153,0,69.11399999999999
64.11864639005113,9.406481974132936,0,69.36399999999999
64.36852764925194,9.41418627813872,0,69.61399999999999
64.61840890845275,9.421890582144503,0,69.86399999999999
64.86829016765357,9.429594886150285,0,70.11399999999999
65.11126127224183,9.43158846535735,-0.18615040953090098,70.35699999999999
65.3540739876998,9.422593064597834,-0.18615040953090098,70.6
65.59623156398762,9.402627086802891,-0.18615040953090098,70.84299999999999
65.83723859135935,9.371731378681257,-0.18615040953090098,71.08599999999998
66.07660201387999,9.329969147154415,-0.18615040953090098,71.329
